cpg index	Gene Symbol
cg00426963	KIF27
cg00427635	TBC1D21
cg00430287	FRK
cg00430945	LIN7B
cg00431050	ELOVL3
cg00431114	C20orf121
cg00431549	MGP
cg00432979	MRP63
cg00434413	ARD1A
cg00435408	RSPRY1
cg00436282	STATH
cg00436301	NT5DC1
cg00436603	CYP2E1
cg00441136	KIF3B
cg00441382	STOML1
cg00443307	KLRG1
cg00446235	F11R
cg00447208	TMC8
cg00448720	MGC48915
cg00449941	SPAG5
cg00451635	EMP2
cg00453193	TES
cg00459975	HMBOX1
cg00461841	ATF7IP2
cg00462311	NFATC4
cg00462994	NAGS
cg00463202	ADPRHL1
cg00463848	KRT2A
cg00464269	TNFAIP1
cg00465284	LRRTM1
cg00466249	MGC15523
cg00466492	CTXN1
cg00466544	C14orf101
cg00468146	ID4
cg00469635	PPME1
cg00471562	WDR37
cg00472136	TAC3
cg00472814	ADAMTS1
cg00474004	IFNA14
cg00474209	DLL1
cg00475955	C9orf114
cg00476580	ANP32E
cg00479269	C2orf29
cg00480115	FXYD3
cg00480209	C17orf48
cg00480356	HYPK
cg00481227	CTNNBL1
cg00483154	DDX41
cg00485296	NME3
cg00487159	SOCS1
cg00488718	MGC33302
cg00489401	FLT4
cg00491404	EPS8L3
cg00491839	PPP1R15A
cg00493400	STAT1
cg00495415	SP1
cg00495442	KIAA1219
cg00496170	ATP6V1D
cg00497084	PPEF1
cg00497251	RNPEPL1
cg00498305	SLC18A2
cg00498604	TLL1
cg00499599	MCM3AP
cg00499822	CXCL12
cg00500400	EP300
cg00501366	ALOX12B
cg00502442	ZDHHC14
cg00503458	KIAA0907
cg00503840	DLX5
cg00504595	TNFRSF19
cg00509616	Gcom1
cg00510787	C6orf96
cg00510956	KHDRBS1
cg00511475	CDH15
cg00512031	CYTL1
cg00512279	SLC18A2
cg00512374	IGFBP4
cg00513467	KLHL9
cg00514407	SERPINE2
cg00515905	EPS8L3
cg00516481	PDE9A
cg00518989	LIMK2
cg00519208	EVI5
cg00520135	TPM1
cg00520708	FLJ37562
cg00521434	GPR61
cg00521598	MYCBP
cg00522034	CBLB
cg00522316	KHSRP
cg00524288	UPP1
cg00528052	JARID1B
cg00528967	STK24
cg00532335	LGI1
cg00532890	PBX1
cg00534274	SLC7A11
cg00536175	GATA1
cg00537910	ABCB6
cg00539322	SAG
cg00539716	HTLF
cg00539955	PARVB
cg00540544	CSRP1
cg00540769	ACOT12
cg00544557	DSCR10
cg00545573	TAOK3
cg00546491	PDE1C
cg00546897	LOC284837
cg00547018	ALG1
cg00547829	TUBD1
cg00548060	NPL
cg00548268	NPTX2
cg00550617	KRTAP9-4
cg00551244	C8orf78
cg00554173	ProSAPiP1
cg00554250	NR1H3
cg00554682	C2orf10
cg00554702	CHEK1
cg00557354	ARHGEF7
cg00560119	STXBP1
cg00563229	XKR8
cg00563845	PXK
cg00563926	TGFBR3
cg00563932	PTGDS
cg00564163	STEAP4
cg00565075	EIF3S6IP
cg00565688	TP73
cg00566759	DSC2
cg00567479	FARP2
cg00568128	C10orf118
cg00568792	STT3A
cg00569620	ABHD10
cg00571634	WDR5B
cg00573606	COL6A3
cg00575744	HLA-DMB
cg00576250	ZNF663
cg00577167	ALDOB
cg00577464	SHH
cg00579402	FUT6
cg00581156	HSA9761
cg00582628	RGS20
cg00584022	KRAS
cg00585790	LIMS1
cg00585846	NFKBIL1
cg00586909	CDKAL1
cg00587613	GPR152
cg00592315	C14orf152
cg00594118	COBRA1
cg00594952	RIMS3
cg00597076	MYO1C
cg00598858	PRKCSH
cg00600110	FAM9A
cg00600684	BRWD2
cg00601486	H1T2
cg00602891	C17orf62
cg00605270	SMPDL3B
cg00609097	TESK2
cg00611397	GTPBP5
cg00612467	HADHSC
cg00614413	PTPRS
cg00615241	PRTN3
cg00615377	RBM9
cg00615915	SERPINB8
cg00616129	STYK1
cg00616135	LACTB
cg00616369	NCL
cg00617305	TMEM58
cg00619207	DENND2D
cg00620024	PPP6C
cg00620223	CENPF
cg00620629	C6orf113
cg00620857	ACOT4
cg00622552	ODF3L1
cg00622677	TSPAN5
cg00623593	DOCK1
cg00625425	ANKRD38
cg00625653	WNT7A
cg00626119	NTRK1
cg00626466	GNS
cg00629217	LNX1
cg00629585	GFI1B
cg00630164	KCNQ4
cg00630249	CYB561D1
cg00630583	POLE
cg00631230	VPS33A
cg00633969	PARP9
cg00635481	ZNF76
cg00636639	MRRF
cg00642303	CENTB2
cg00643392	RTBDN
cg00644033	MUC3B
cg00645579	IRF7
cg00645922	TMED7
cg00646140	ARSD
cg00646492	GSTO1
cg00647741	ZNF274
cg00648883	LOC196549
cg00650762	EPHB2
cg00650876	YBX1
cg00651216	HSP90AB1
cg00653387	PTN
cg00654814	MGAT5B
cg00654816	ZNF509
cg00655307	ESR1
cg00655779	CCT7
cg00657095	PPARD
cg00657582	CHD8
cg00658007	C1orf36
cg00658626	CCDC63
cg00659129	DDEF1
cg00659953	C16orf24
cg00660989	BTBD5
cg00661202	CHCHD4
cg00661485	FOXI1
cg00662556	GALR1
cg00665395	TTLL4
cg00666446	ZNF670
cg00666746	SYDE1
cg00668685	SLC39A5
cg00669623	CDC2L2
cg00669856	SPRY1
cg00672638	ARHGAP26
cg00673191	DOPEY2
cg00676660	ADAMTS9
cg00677811	CCM2
cg00678539	MNS1
cg00679556	TRIM31
cg00679738	FAM89A
cg00682653	VTI1B
cg00685836	PPFIA2
cg00686022	C12orf40
cg00686623	CAPN1
cg00687674	TMEM84
cg00687686	NDRG4
cg00688421	RAP1GDS1
cg00689010	NCSTN
cg00689340	RTKN
cg00690280	WFDC10B
cg00691625	NR5A1
cg00692549	TARDBP
cg00695416	CBR1
cg00698688	SULT2B1
cg00702231	PLAGL1
cg00704310	KCTD15
cg00704909	COPB
cg00706536	ATP6V0A1
cg00707317	NMNAT2
cg00708598	LECT1
cg00708642	EIF5
cg00711916	CNNM4
cg00712898	PRPF38B
cg00714377	SLA2
cg00717862	DNAJB11
cg00718440	CDKN2A
cg00718513	XXXXVVVVXXXX
cg00718748	ZNF624
cg00720072	39877
cg00720137	DYNLRB2
cg00720723	NOP5/NOP58
cg00722300	RLN3
cg00724662	NXF1
cg00725635	B3GALT2
cg00727590	PLA2G3
cg00728398	C1orf149
cg00728602	C6orf27
cg00729275	C18orf16
cg00729541	FAM73B
cg00729875	PALMD
cg00733682	ZNF44
cg00734993	MTCH1
cg00737514	TBC1D1
cg00739120	NIFIE14
cg00741717	TLR8
cg00743372	ZNF192
cg00744433	CXADR
cg00745543	H1T2
cg00745735	FLJ14437
cg00746083	CHD8
cg00746130	BAT5
cg00747849	SLC25A1
cg00750606	CDA
cg00751288	LOC90624
cg00754253	HRASLS5
cg00754617	SPACA4
cg00755043	C9orf121
cg00756058	DZIP1
cg00756887	PVRL4
cg00757070	UPK2
cg00757952	CRYBB1
cg00761755	SLC43A2
cg00763679	40058
cg00763889	HRASLS2
cg00766729	LOC147808
cg00766889	SEPHS1
cg00767581	HOXD4
cg00768439	NAP1L3
cg00769470	DEFB129
cg00769520	ST8SIA1
cg00770279	CDKN2D
cg00770871	TULP3
cg00772000	NHLRC1
cg00775197	MGC33600
cg00777555	ARF4
cg00778920	PRPF19
cg00779924	FLJ45983
cg00782174	SLC1A5
cg00782854	BCL2L1
cg00783759	LARP2
cg00784357	RAC1
cg00791249	MGC19604
cg00792687	C8orf41
cg00792740	UBE3A
cg00792849	CX36
cg00793648	DDX24
cg00793774	TRIM8
cg00795268	C11orf55
cg00795812	PDCD1
cg00796728	FUT4
cg00798206	OXSR1
cg00800095	PNMA3
cg00804048	EIF5A
cg00804392	RHOH
cg00806490	CDH13
cg00807586	DLEC1
cg00808492	REG4
cg00810473	SNX22
cg00810495	BXDC5
cg00812502	DGCR2
cg00814580	TRAPPC6A
cg00815440	UQCRFS1
cg00815583	FBXO16
cg00816620	C1orf25
cg00818872	CHRNB2
cg00819310	VANGL1
cg00819362	CLIPR-59
cg00819696	TIMELESS
cg00822607	ZNF688
cg00823148	CRYGB
cg00824109	CHD4
cg00825031	VPS37A
cg00827369	WBSCR1
cg00828602	WNT5A
cg00830029	NRIP2
cg00830393	LRIG1
cg00831028	C20orf43
cg00832517	C14orf126
cg00833393	CREB3
cg00833777	ITGAM
cg00834796	JAKMIP2
cg00834958	TSC22D4
cg00836605	JAZF1
cg00837103	COL9A3
cg00838150	MITF
cg00839584	IL1A
cg00839802	MAN1A1
cg00840403	CHST4
cg00841581	STAG1
cg00842351	TJP2
cg00845900	CPA4
cg00846036	DLG2
cg00848394	WDR51A
cg00848397	MGC4172
cg00848728	DAB1
cg00850538	CRIM1
cg00852964	VNN1
cg00853068	FMNL1
cg00854637	TSNAXIP1
cg00854995	SKP1A
cg00856375	PSMD14
cg00858899	CCND1
cg00859193	C13orf12
cg00859655	CYB5R2
cg00861635	ZNF200
cg00862290	KCNMB3
cg00862770	FKBP5
cg00864867	PAWR
cg00870662	PARD6G
cg00871453	WDR67
cg00873037	NEIL2
cg00873937	ATOH7
cg00875272	TAL1
cg00876704	PKN1
cg00877887	LOC405753
cg00877964	SLC1A4
cg00881086	NPHP3
cg00881370	LOC55908
cg00882451	ZP2
cg00882832	SPRY1
cg00884221	IGFBP7
cg00884529	BZW2
cg00885506	WDR31
cg00886554	NMU
cg00887101	KIAA1698
cg00887547	TAOK3
cg00887700	EIF2B1
cg00888007	CCND2
cg00888479	SLC24A3
cg00888561	WDFY2
cg00890257	DEGS2
cg00891278	CCDC37
cg00892393	MGC35212
cg00892798	NGFR
cg00893242	SND1
cg00893636	EPM2AIP1
cg00893987	RPL7L1
cg00895324	PCP4
cg00897329	LACE1
cg00899086	40067
cg00899641	SF3B1
cg00899659	ZNF22
cg00901493	YBX2
cg00901652	SH2BP1
cg00901683	CPSF4
cg00901704	SLC25A19
cg00903242	CHL1
cg00903375	SBDS
cg00904483	MGMT
cg00904574	PLK3
cg00905170	RRS1
cg00906183	HGS
cg00908551	FANCF
cg00910067	SLC7A10
cg00910168	DHX37
cg00911873	PRPS1L1
cg00912191	DC-UbP
cg00912942	C1orf127
cg00915206	GAD1
cg00915289	CKS1B
cg00916199	PRO1580
cg00916635	PTPN22
cg00917893	PDHB
cg00918794	PPIB
cg00919857	TMOD2
cg00922727	SESN1
cg00925229	GPR137
cg00925717	SCNN1B
cg00929606	ZNF3
cg00929855	HSPA1A
cg00930078	FBXO28
cg00930873	ALDH1A2
cg00931491	SULT1A2
cg00933411	DLC1
cg00935388	RNASE8
cg00935430	ZNF678
cg00936626	PIGZ
cg00939965	PRRG1
cg00940891	FGFRL1
cg00941229	ZA20D1
cg00941549	AKAP4
cg00943245	PCDHGC5
cg00943909	GNAS
cg00943950	UBE2B
cg00945507	SEC61G
cg00945862	SLC4A5
cg00947019	H2AFV
cg00949554	UBE2E3
cg00950418	SRPK2
cg00950621	STARD5
cg00951770	RABGGTA
cg00953256	CCND1
cg00954003	TMSB10
cg00955230	RFC2
cg00955451	APBA2
cg00958517	ST3GAL2
cg00958560	FLJ46481
cg00960702	CCDC9
cg00962459	PROKR1
cg00964109	UBL7
cg00967316	PPP1R3A
cg00969271	ORM2
cg00969446	CENTA1
cg00970325	PAQR9
cg00971396	POLR2H
cg00973286	TNFRSF1A
cg00973677	CHRM2
cg00974864	FCGR3B
cg00976054	ATP5H
cg00977690	ZFX
cg00979348	HPSE
cg00980978	WFDC2
cg00983520	CPT1B
cg00983899	CABP2
cg00984602	SRF
cg00986320	CYFIP2
cg00987015	CHRM1
cg00987379	ZNF395
cg00988256	TSPAN16
cg00995065	SLCO1B1
cg00995152	DAB2IP
cg00995327	CHST2
cg00995520	KCNA3
cg00997424	PI4KII
cg01000094	XXXXVVVVXXXX
cg01001286	IL16
cg01007201	CLEC4A
cg01009664	TRH
cg01013324	EFNB3
cg01015871	MT4
cg01015879	RDX
cg01017147	DNM3
cg01021485	CSNK1G1
cg01025762	DLD
cg01025842	TRADD
cg01027739	DOLPP1
cg01027805	ZNF219
cg01029592	SOX15
cg01031251	RPS6KA1
cg01031400	TNFRSF10D
cg01033160	CEBPG
cg01033938	ADAMTS8
cg01035238	TNFAIP6
cg01035422	PLIN
cg01036148	RNPEP
cg01036173	C9orf46
cg01036779	SH2D3A
cg01037108	HSPA9B
cg01040062	CYB5D2
cg01040759	ST3GAL5
cg01040850	MR1
cg01041367	TMEM70
cg01044662	C2orf3
cg01044722	MYH10
cg01045423	GLMN
cg01046174	PIP5K3
cg01047414	PHYH
cg01049530	BMP3
cg01050433	TYRO3
cg01053621	APOA2
cg01055695	PAEP
cg01056155	BTF3
cg01056568	GLP2R
cg01057962	BCL6
cg01058368	CDH10
cg01063524	NME1
cg01063813	STAT6
cg01064307	CD55
cg01064957	SNX2
cg01065920	NDUFA12
cg01071811	L3MBTL
cg01076838	TMEM86B
cg01078434	MAS1L
cg01078871	FBXO33
cg01081263	SCUBE2
cg01086895	DCHS1
cg01086978	ARFGEF1
cg01087382	MAP3K7
cg01087710	LIN10
cg01090445	TRAIP
cg01091448	AMACR
cg01091565	MESP1
cg01092036	MMP8
cg01092561	PPP1R3B
cg01095395	IMPG2
cg01095590	KIAA0040
cg01097940	SPSB2
cg01100784	MAPK8IP3
cg01100796	CPT2
cg01103730	IL20
cg01103836	MYO9B
cg01104423	EIF2AK1
cg01106788	KIAA1632
cg01107031	TGFB1
cg01107741	CANT1
cg01108476	TCP11
cg01109219	RASGRP3
cg01110312	GTF2H3
cg01110846	KCTD13
cg01112778	PPP2R2B
cg01114088	CYTL1
cg01116966	TCF7
cg01117627	CYP46A1
cg01119135	C1orf116
cg01120165	HDAC10
cg01120307	LOC349236
cg01120308	PICALM
cg01120761	CLEC4C
cg01120898	IL1RAP
cg01124420	EDAR
cg01124961	RC74
cg01125463	PEX6
cg01126560	C9orf142
cg01127428	SYCP3
cg01128603	SF3B2
cg01129459	FLJ46156
cg01129847	C19orf35
cg01131735	SC65
cg01134491	MTHFR
cg01135200	STXBP5
cg01135626	CDX4
cg01136458	CSMD1
cg01137065	FOXK2
cg01137198	TA-PP2C
cg01137532	ZNF365
cg01137708	NFKB1
cg01137737	MIR16
cg01138020	MGC29671
cg01139966	GOLPH3L
cg01143454	C20orf141
cg01144286	C20orf103
cg01145389	CDKN2C
cg01145396	CHRNG
cg01146980	DNAJA5
cg01150454	MRPS5
cg01151686	LIG3
cg01151699	CACNG2
cg01152019	HOXD4
cg01152499	FAM46C
cg01154193	IQCC
cg01154537	C10orf4
cg01154775	MGC29898
cg01155039	AMN
cg01160766	RPL38
cg01161216	NULP1
cg01166674	ABCB8
cg01168201	HIC1
cg01169610	INPP4A
cg01169624	SGCE
cg01169726	DLX5
cg01169778	GBGT1
cg01171588	USP38
cg01171858	SLC5A2
cg01172656	NRBF2
cg01172735	SESN2
cg01172899	SLC16A14
cg01173291	ZSCAN2
cg01176271	SNX1
cg01177524	NEDD9
cg01177956	SLC4A2
cg01182585	C7orf30
cg01182697	TMEM59
cg01182873	TAS2R3
cg01183669	ST7L
cg01184449	EML4
cg01184522	ZNF496
cg01185080	ZNF710
cg01185754	F3
cg01186777	TNFSF9
cg01190915	MT2A
cg01192900	BTG4
cg01192952	LGALS14
cg01193293	SIGLEC7
cg01194444	MYOG
cg01195053	LOC124216
cg01195127	YIPF4
cg01199721	GCN1L1
cg01200060	SCRT2
cg01200177	POLR2D
cg01204985	LILRA4
cg01206472	TOMM22
cg01206970	PPFIA3
cg01211097	USP10
cg01214321	DPYSL2
cg01214847	TMPRSS3
cg01216369	SPATA16
cg01220033	WDR34
cg01221484	ZNF584
cg01221637	C20orf112
cg01222684	TTC1
cg01226811	KCNJ8
cg01226883	MTHFR
cg01228636	PTEN
cg01230160	DGKD
cg01231779	NID2
cg01234063	ST3GAL4
cg01234133	COL1A1
cg01236137	SUB1
cg01241375	INVS
cg01242619	PLEC1
cg01243790	FLJ30294
cg01244871	FAM82B
cg01245595	LSS
cg01245656	ASNS
cg01246254	PLEKHA1
cg01246405	STIM1
cg01251255	NSUN5
cg01252496	MDS032
cg01253107	STOML2
cg01253545	RNF185
cg01254459	PSMC6
cg01254505	BST2
cg01255349	PPFIBP1
cg01255591	R3HDML
cg01259619	ITPKB
cg01260219	ADAMTS8
cg01261503	POLG2
cg01261535	N-PAC
cg01262913	DSCR9
cg01263716	PHLDA2
cg01267315	C1orf164
cg01269048	KIAA1244
cg01269795	BTN3A3
cg01272601	AAK1
cg01273150	CORO1C
cg01274324	C21orf77
cg01274660	TRIP6
cg01275830	C10orf95
cg01277844	PYGO2
cg01278291	DOK3
cg01280080	ATIC
cg01281797	LYSMD1
cg01281904	OPRK1
cg01282074	NKX2-5
cg01282432	C14orf101
cg01283289	FLJ21963
cg01284306	C21orf91
cg01284619	HCN2
cg01288067	MELK
cg01288598	CD83
cg01289103	KA21
cg01291404	COL2A1
cg01292265	NOL5A
cg01293143	TCEA2
cg01293647	NEUROD2
cg01294695	MESP1
cg01294702	FOXJ1
cg01295203	PRDM14
cg01302245	P53AIP1
cg01305421	IGF1
cg01305547	WHSC1
cg01305625	PDLIM4
cg01306510	CDKN1A
cg01307730	HIST1H2AA
cg01308501	IL12A
cg01309153	SURF1
cg01311051	ALDOA
cg01311285	SPATA4
cg01313514	WNT3A
cg01313949	LOC202459
cg01313966	C18orf24
cg01316071	C14orf139
cg01316516	LDHA
cg01316819	PPP1R1A
cg01318557	LAT2
cg01320361	SEC63
cg01320507	SPHAR
cg01322897	LETMD1
cg01324261	SCRG1
cg01328164	HINT2
cg01331554	G3BP2
cg01333011	PTHLH
cg01333131	CDC42BPB
cg01333619	VPS26B
cg01333788	GJB5
cg01334437	LYPLA1
cg01335367	C12orf34
cg01337047	DSG1
cg01340005	SOX2
cg01342792	FAM71A
cg01343729	ZNF688
cg01344171	C6orf206
cg01344452	DGKE
cg01344518	RGS11
cg01346152	DHRS3
cg01346589	RCC2
cg01346718	CSNK1E
cg01347719	DQX1
cg01348086	RGS14
cg01348757	PLIN
cg01351032	CIITA
cg01352108	KCNK4
cg01352882	STUB1
cg01353448	C7orf16
cg01355520	HADHA
cg01355739	GNAS
cg01356829	IL12RB2
cg01357116	ATOH1
cg01357263	BCL7A
cg01360325	TAF5
cg01360768	TSG101
cg01362183	MAP3K7IP2
cg01366407	FLAD1
cg01366419	WBSCR17
cg01367992	LY9
cg01369413	UBQLN3
cg01371258	ZNF184
cg01371477	ANP32E
cg01372605	C12orf62
cg01375994	MXRA5
cg01376672	ANAPC5
cg01377911	NTF5
cg01381846	HOXA9
cg01385430	VPS45A
cg01386493	ADRB3
cg01389761	TERC
cg01390445	LIPH
cg01395672	ZNF207
cg01399317	FLJ46072
cg01400401	C19orf30
cg01401337	PHF2
cg01401376	EYA4
cg01402045	FLJ23356
cg01402255	GATAD2B
cg01403114	PPWD1
cg01404197	ZW10
cg01404615	DKK2
cg01405107	HOXB5
cg01405761	MGC34646
cg01407244	TNFRSF10C
cg01407341	SPATA8
cg01407797	FLJ33814
cg01408558	PDE4A
cg01409734	TRAFD1
cg01410472	CRISPLD1
cg01411954	NVL
cg01412445	BBS4
cg01414934	SH3BGRL3
cg01418124	ARHGAP24
cg01419479	GLUL
cg01419675	RHOB
cg01419679	PTTG1IP
cg01419788	ITPK1
cg01420388	FBXO2
cg01424107	CDX2
cg01425405	DLX3
cg01425670	NEGR1
cg01426743	FAM20B
cg01427567	TMC4
cg01428361	RSAD1
cg01428678	GPHN
cg01429181	WDR42A
cg01429321	LOX
cg01429996	NANS
cg01430430	FLJ37078
cg01430807	NDUFB8
cg01432087	FLJ21749
